1037	HCLS1
1038	GOLGB1
1039	EAF2
1040	CD86
1041	CASR
1042	CSTA
1043	PARP14
1044	ADCY5
1045	MYLK
1046	MUC13
1047	HEG1
1048	OSBPL11
1049	SLC41A3
1050	UROC1
1051	MCM2
1052	MGLL
1053	SEC61A1
1054	RUVBL1
1055	GATA2
1056	GATA2-AS1
1057	GP9
1058	COPG1
1059	HMCES
1060	H1FX
1061	PLXND1
1062	NUDT16
1063	MRPL3
1064	UBA5
1065	BFSP2
1066	SRPRB
1067	RAB6B
1068	SLCO2A1
1069	AMOTL2
1070	ANAPC13
1071	ESYT3
1072	COPB2
1073	RBP1
1074	CLSTN2
1075	ZBTB38
1076	ATP1B3
1077	RP11-372E1.4
1078	U2SURP
1079	CHST2
1080	PLOD2
1081	PLSCR4
1082	PLSCR1
1083	AGTR1
1084	CPA3
1085	GYG1
1086	TM4SF18
1087	TM4SF1
1088	TM4SF1-AS1
1089	TM4SF4
1090	WWTR1
1091	RNF13
1092	EIF2A
1093	SIAH2
1094	GPR171
1095	P2RY13
1096	SUCNR1
1097	MBNL1-AS1
1098	RAP2B
1099	DHX36
1100	MME
1101	SSR3
1102	PTX3
1103	SHOX2
1104	RSRC1
1105	LXN
1106	RARRES1
1107	MFSD1
1108	SMC4
1109	TRIM59
1110	SPTSSB
1111	BCHE
1112	MECOM
1113	SAMD7
1114	GPR160
1115	SKIL
1116	CLDN11
1117	RPL22L1
1118	SLC2A2
1119	TNFSF10
1120	RP11-408H1.3
1121	ECT2
1122	GNB4
1123	MRPL47
1124	SOX2
1125	B3GNT5
1126	RP11-778D9.13
1127	ALG3
1128	PSMD2
1129	EIF4G1
1130	POLR2H
1131	MAP3K13
1132	LIPH
1133	IGF2BP2
1134	ETV5
1135	DGKG
1136	DNAJB11
1137	AHSG
1138	FETUB
1139	HRG
1140	RFC4
1141	RPL39L
1142	BCL6
1143	LPP
1144	P3H2
1145	CLDN1
1146	UTS2B
1147	CCDC50
1148	HES1
1149	CPN2
1150	LRRC15
1151	ATP13A3
1152	TMEM44
1153	FAM43A
1154	ACAP2
1155	PPP1R2
1156	APOD
1157	LINC00969
1158	TFRC
1159	BDH1
1160	SPON2
1161	CTBP1
1162	SLBP
1163	TACC3
1164	FGFR3
1165	WHSC1
1166	C4orf48
1167	MXD4
1168	ADD1
1169	LYAR
1170	NSG1
1171	MSX1
1172	CYTL1
1173	JAKMIP1
1174	S100P
1175	GRPEL1
